Date,Open,High,Low,Close,Adj Close,Volume
2022-04-16 22:15:00:00:00,40622.24609,40622.24609,40555.07813,40555.07813,40555.07813,143853568
2022-04-16 22:30:00:00:00,40546.07422,40546.07422,40486.875,40486.875,40486.875,36033536
2022-04-16 22:45:00:00:00,40483.92969,40495.5,40438.23438,40442.23047,40442.23047,30887936
2022-04-16 23:00:00:00:00,40445.82422,40453.44141,40439.90234,40439.90234,40439.90234,10127360
2022-04-16 23:15:00:00:00,40437.45313,40463.14844,40429.97266,40461.78125,40461.78125,17519616
2022-04-16 23:30:00:00:00,40464.21484,40492.41016,40460.31641,40492.41016,40492.41016,41428992
2022-04-16 23:45:00:00:00,40491.4375,40491.4375,40416.11328,40426.23047,40426.23047,3524608
2022-04-17 00:00:00:00:00,40413.75781,40417.24219,40401.60156,40401.60156,40401.60156,44909568
2022-04-17 00:15:00:00:00,40399.96094,40418.87109,40394.48438,40394.48438,40394.48438,8391680
2022-04-17 00:30:00:00:00,40370.78125,40397.42969,40364.32031,40381.94922,40381.94922,61413376
2022-04-17 00:45:00:00:00,40380.76172,40409.03125,40379.24609,40399.55078,40399.55078,34838528
2022-04-17 01:00:00:00:00,40399.83594,40399.83594,40393.20703,40398.46094,40398.46094,12064768
2022-04-17 01:15:00:00:00,40392.99219,40394.23828,40366.42969,40394.23828,40394.23828,4868096
2022-04-17 01:30:00:00:00,40398.30078,40404.82031,40389.59766,40404.82031,40404.82031,25893888
2022-04-17 01:45:00:00:00,40409.50781,40416.26172,40404.68359,40407.89453,40407.89453,12160000
2022-04-17 02:00:00:00:00,40408.39453,40408.39453,40379.66797,40379.66797,40379.66797,0
2022-04-17 02:15:00:00:00,40384.44141,40388.18359,40364.66016,40364.66016,40364.66016,24072192
2022-04-17 02:30:00:00:00,40336.37109,40336.37109,40262.23828,40262.23828,40262.23828,114057216
2022-04-17 02:45:00:00:00,40253.04688,40253.04688,40197.44141,40216.81641,40216.81641,88196096
2022-04-17 03:00:00:00:00,40216.1875,40216.1875,40192.42578,40206.375,40206.375,0
2022-04-17 03:15:00:00:00,40212.30469,40255.42188,40212.30469,40255.42188,40255.42188,9265152
2022-04-17 03:30:00:00:00,40257.26563,40291.70313,40257.26563,40291.70313,40291.70313,83354624
2022-04-17 03:45:00:00:00,40288.21875,40303.67969,40288.21875,40301.58984,40301.58984,20893696
2022-04-17 04:00:00:00:00,40299.53906,40299.88672,40271.28516,40298.78516,40298.78516,0
2022-04-17 04:15:00:00:00,40298.72656,40336.99609,40298.72656,40326.82813,40326.82813,49167360
2022-04-17 04:30:00:00:00,40327.17188,40327.17188,40308.21094,40308.21094,40308.21094,13188096
2022-04-17 04:45:00:00:00,40324.83203,40324.83203,40306.25,40306.25,40306.25,0
2022-04-17 05:00:00:00:00,40305.59375,40305.80078,40285.45703,40291.05469,40291.05469,4491264
2022-04-17 05:15:00:00:00,40292.6875,40328.52344,40292.6875,40328.52344,40328.52344,11436032
2022-04-17 05:30:00:00:00,40328.42969,40337.73047,40326.28906,40331.85547,40331.85547,47691776
2022-04-17 05:45:00:00:00,40330.11719,40369.45703,40329.95313,40369.45703,40369.45703,29316096
2022-04-17 06:00:00:00:00,40375.85156,40378.86328,40355.54297,40355.54297,40355.54297,15512576
2022-04-17 06:15:00:00:00,40363.23047,40363.23047,40339.58594,40342.92188,40342.92188,1282048
2022-04-17 06:30:00:00:00,40344.25,40376.92969,40344.25,40375.99609,40375.99609,45621248
2022-04-17 06:45:00:00:00,40353.07813,40371.65234,40352.54297,40352.54297,40352.54297,21575680
2022-04-17 07:00:00:00:00,40353.60547,40353.60547,40336.46875,40347.92969,40347.92969,12356608
2022-04-17 07:15:00:00:00,40348.05859,40367.24219,40322.74219,40322.74219,40322.74219,2363392
2022-04-17 07:30:00:00:00,40324.48438,40324.48438,40286.94922,40286.94922,40286.94922,76126208
2022-04-17 07:45:00:00:00,40289.13281,40299.92969,40289.13281,40299.92969,40299.92969,1778688
2022-04-17 08:00:00:00:00,40304.24609,40367.34766,40304.24609,40367.34766,40367.34766,53531648
2022-04-17 08:15:00:00:00,40374.70703,40403.94531,40374.70703,40389.68359,40389.68359,126129152
2022-04-17 08:30:00:00:00,40388.00781,40392.67188,40371.50781,40371.50781,40371.50781,23313408
2022-04-17 08:45:00:00:00,40379.95313,40403.51172,40379.95313,40403.51172,40403.51172,81653760
2022-04-17 09:00:00:00:00,40412.12109,40492.52734,40412.12109,40492.52734,40492.52734,232232960
2022-04-17 09:15:00:00:00,40493.23438,40493.23438,40475.85547,40475.85547,40475.85547,70660096
2022-04-17 09:30:00:00:00,40474.85156,40475.55469,40448.20703,40448.20703,40448.20703,26232832
2022-04-17 09:45:00:00:00,40449.20313,40449.20313,40435.80078,40437.57031,40437.57031,0
2022-04-17 10:00:00:00:00,40435.75391,40457.60938,40435.75391,40446.36328,40446.36328,11005952
